Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
874304,Novotel Bogor Golf Resort & Convention Center,JV,Bogor,ID,10/29/2025,10/30/2025,TRUE,1118480.38
874305,The Margo Hotel Depok,KB,Depok,ID,11/5/2025,11/7/2025,FALSE,6125400
874306,Cassia Rama 9 Bangkok,FR,Bangkok,TH,12/24/2025,12/28/2025,FALSE,4450872
874307,Casa Calma Hotel,KB,Jakarta,ID,10/31/2025,11/1/2025,TRUE,405587.8
874308,Cityloog Hotel Tebet Jakarta,KB,Jakarta,ID,10/29/2025,10/31/2025,TRUE,1695800
874309,BATIQA Hotel Pekanbaru,KB,Pekanbaru,ID,10/29/2025,10/30/2025,TRUE,595525
874310,ASTON Pasteur,DOTW,Bandung,ID,10/30/2025,11/1/2025,TRUE,0
874311,Ashley Tang Menteng Jakarta,JV,Jakarta,ID,10/30/2025,10/31/2025,TRUE,990870.77
874312,Hotel Aruss Semarang,KB,Semarang,ID,10/31/2025,11/1/2025,TRUE,843780
874313,Pentacity Hotel Balikpapan,KB,Balikpapan,ID,10/30/2025,11/1/2025,TRUE,2755181.32
874314,Sahid Raya Hotel & Convention Yogyakarta,KB,Yogyakarta,ID,10/30/2025,11/2/2025,TRUE,2675608.75
874315,THE 1O1 Bandung Dago,JV,Bandung,ID,10/30/2025,10/31/2025,TRUE,1403900
874316,Moxy Bandung,KB,Bandung,ID,10/30/2025,10/31/2025,TRUE,1299742.44
874317,Azana Asia Hotel Cilacap,KB,Cilacap,ID,10/30/2025,10/31/2025,TRUE,873373.38
874318,Mercure Garut City Center,FR,Garut,ID,11/2/2025,11/13/2025,TRUE,18080943
874319,Alila Solo,JV,Solo City,ID,10/30/2025,11/1/2025,TRUE,3410161.84
874320,Luminor Hotel Padjadjaran Bogor,KB,Bogor,ID,11/3/2025,11/5/2025,TRUE,2502977.82
874321,DoubleTree by Hilton Hotel Jakarta - Diponegoro,FR,Jakarta,ID,11/13/2025,11/14/2025,FALSE,6853514
874322,Aston Makassar Hotel and Convention Center,DOTW,Makassar,ID,10/30/2025,10/31/2025,TRUE,0
874323,JW Marriott Hotel Medan,JV,Medan,ID,10/30/2025,11/1/2025,TRUE,3677371.12
874324,Hotel Callista,JV,Lahat,ID,11/3/2025,11/6/2025,TRUE,1074638.61
874325,EL Hotel Bandung,JV,Bandung,ID,10/30/2025,11/1/2025,TRUE,3407431.22
